Name,City,State,Level A,Level B,Level C,Level D,Last Inspection End Date,Total Avg Population
Adams County Det Center,Natchez,MS,1876.461078,266.4311377,6.724550898,4.25748503,2025-01-16,2153.8742516280004
Adelanto Ice Processing Center,Adelanto,CA,6.401197605,4.323353293,22.60479042,32.63473054,2024-07-18,65.96407185800001
Alamance County Detention Facility,Graham,NC,4.329341317,3.461077844,6.083832335,6.185628743,2024-09-19,20.059880238999998
Alexandria Staging Facility,Alexandria,LA,137.5209581,47.41317365,76.00598802,52.48502994,2024-08-29,313.42514971
Allegany County Jail,Belmont,NY,1.221556886,0.018,0.0,0.0,,1.239556886
Allen Parish Public Safety Complex,Oberlin,LA,101.3113772,30.25149701,33.76646707,10.66467066,2024-12-12,175.99401194
Atlantauspen,Atlanta,GA,17.34131737,3.610778443,3.053892216,2.724550898,,26.730538927
Baker County Sheriff Dept,Macclenny,FL,26.22155689,38.64071856,88.65269461,88.73053892,2024-10-24,242.24550898
Berlin Fed Corr Inst,Berlin,NH,1.748502994,0.0898,0.97005988,0.71257485,,3.5209377240000004
Bluebonnet Detention Facility,Anson,TX,311.3053892,164.5508982,241.6167665,104.5149701,2024-12-12,821.988024
Boone County Jail,Burlington,KY,28.32335329,22.92215569,33.32934132,56.43113772,2024-11-21,141.00598802
Broward County Jail,Ftlauderdale,FL,0.335329341,0.209580838,1.053892216,0.233532934,,1.832335329
Broward Transitional Center,Pompano Beach,FL,495.4670659,158.3532934,3.844311377,0.718562874,2024-12-19,658.3832335510001
Buffalo Service Processing Center,Batavia,NY,235.6886228,46.08383234,133.5868263,151.2754491,2024-10-31,566.63473054
Butler County Jail,Chardon,OH,1.51497006,0.598802395,0.838323353,0.107784431,2021-04-02,3.059880239
Calhoun County Correctional Center,Battle Creek,MI,56.78443114,35.29341317,30.98203593,15.95209581,2024-08-22,139.01197605
Caroline Detention Facility,Bowling Green,VA,111.1077844,33.88023952,62.51497006,76.92215569,2024-07-11,284.42514967
Cca Florence Correctional Center,Florence,AZ,50.4491018,40.62275449,145.2215569,141.742515,2024-12-12,378.03592819
Central Louisiana Ice Processing Center Clipc,Jena,LA,410.9700599,221.2095808,344.7904192,207.1616766,2025-01-09,1184.1317365
Chase County Jail,Cottonwood Fall,KS,19.11377246,17.9760479,33.77245509,17.76646707,2024-08-22,88.62874252
Chippewa County Ssm,Sault Ste Marie,MI,9.065868263,4.023952096,6.880239521,6.125748503,2024-04-25,26.095808383
Cibola County Correctional Center,Milan,NM,148.1676647,21.33532934,0.760479042,0.658682635,2025-02-27,170.92215571699995
Cimmarron Corr Facility,Cushing,OK,17.05988024,3.670658683,0.311377246,0.0,,21.041916168999997
Clay County Justice Center,Brazil,IN,53.4011976,29.56886228,91.20958084,63.61676647,2024-06-27,237.79640719000002
Clinton County Correctional Facility,Mcelhattan,PA,2.880239521,23.71856287,36.30538922,16.00598802,2025-01-16,78.910179631
Clinton County Jail,Plattsburgh,NY,2.185628743,0.526946108,1.754491018,0.185628743,2024-06-06,4.652694612
Coastal Bend Detention Facility,Robstown,TX,0.880239521,2.239520958,0.311377246,0.113772455,2025-02-06,3.54491018
Collier County Naples Jail Center,Naples,FL,6.089820359,2.077844311,2.574850299,1.766467066,2024-12-05,12.508982035
Cumberland County Jail,Portland,ME,7.532934132,1.137724551,19.79640719,16.89221557,2024-09-12,45.359281443
Dakota County Jail,Dakota City,NE,2.047904192,2.209580838,2.401197605,1.694610778,2024-12-07,8.353293413
Dallas County Jail Lew Sterrett Justice Center,Dallas,TX,6.832335329,0.0,0.012,0.00599,2024-07-18,6.8503253289999995
Denver Contract Detention Facility,Aurora,CO,624.5688623,190.508982,189.6586826,141.3652695,2025-02-13,1146.1017964
Department Of Corrections Hagatna,Hagatna,GU,0.0,1.461077844,2.964071856,0.497005988,2024-03-14,4.922155688
Desert View Annex,Adelanto,CA,211.1257485,28.16766467,72.08982036,95.69461078,2025-02-27,407.07784431
Dodge County Jail,Juneau,WI,9.209580838,16.04790419,44.86227545,41.22754491,2024-08-15,111.347305388
East Hidalgo Detention Center,La Villa,TX,1.377245509,0.359281437,0.580838323,0.431137725,2024-08-22,2.748502994
Eden Detention Ctr,Eden,TX,103.2095808,5.982035928,0.784431138,0.389221557,2025-02-27,110.365269423
El Paso Service Processing Center,El Paso,TX,311.7724551,185.7185629,141.5628743,84.00598802,2025-02-13,723.05988032
El Paso Soft Sided Facili,El Paso,TX,1.05988024,0.80239521,0.497005988,0.155688623,,2.514970061
El Valle Detention Facility,Raymondville,TX,747.8922156,37.11976048,39.50299401,33.65868263,2025-03-06,858.17365272
Elizabeth Contract Detention Facility,Elizabeth,NJ,84.25149701,170.3233533,17.73053892,6.401197605,2024-12-05,278.706586835
Eloy Federal Contract Facility,Eloy,AZ,1041.886228,45.53892216,114.6886228,125.6107784,2024-10-31,1327.7245513600003
Erie County Jail,Erie,PA,1.323353293,0.892215569,0.317365269,0.19760479,2024-03-20,2.7305389210000004
Etowah County Jail Alabama,Gadsden,AL,1.083832335,1.251497006,1.125748503,0.341317365,2021-12-03,3.802395209
Fayette County Detention Center,Lexington,KY,0.203592814,0.25748503,0.419161677,0.532934132,2024-09-12,1.4131736529999999
Fdc Philadelphia,Philadelphia,PA,9.425149701,1.676646707,3.347305389,4.616766467,,19.065868264000002
Florence Service Processing Center,Florence,AZ,303.5568862,71.79041916,1.508982036,1.48502994,2025-02-13,378.34131733600003
Florence Staging Facility,Florence,AZ,108.2754491,36.10778443,23.13173653,10.7245509,2024-12-12,178.23952096000002
Folkston Annex Ipc,Folkston,GA,188.8443114,25.25748503,37.47305389,15.91017964,2025-01-28,267.48502996
Folkston Main Ipc,Folkston,GA,348.8682635,132.0,91.49700599,40.5508982,2025-01-28,612.9161676900001
Freeborn County Adult Detention Center,Albert Lea,MN,14.92814371,11.22155689,38.36526946,11.01197605,2025-03-06,75.52694611
Geauga County Jail,Chardon,OH,24.67664671,13.05988024,7.580838323,2.694610778,2025-01-30,48.011976051
Golden State Annex,Mcfarland,CA,189.5688623,65.29341317,108.1676647,162.3532934,2025-01-30,525.38323357
Grand Forks County Correctional Facility,Grand Forks,ND,0.233532934,0.0299,2.520958084,0.024,2024-07-11,2.808391018
Grayson County Jail,Leitchfield,KY,4.868263473,2.095808383,3.664670659,1.574850299,2024-08-22,12.203592814
Greene County Jail,Springfield,MO,14.50299401,3.083832335,8.598802395,5.886227545,,32.071856284999996
Hancock County Public Safety Complex,Bay St Louis,MS,7.856287425,4.19760479,3.353293413,0.844311377,2024-05-09,16.251497004999997
Henderson Detention,Henderson,NV,11.43712575,20.0,25.96407186,11.30538922,2024-09-19,68.70658682999999
Honolulu Federal Detention Center,Honolulu,HI,3.814371257,6.97005988,10.58682635,3.988023952,,25.359281439
Houston Contract Detention Facility,Houston,TX,774.5269461,35.06586826,12.95209581,6.604790419,2025-01-30,829.149700589
Iah Secure Adult Detention Facility Polk,Livingston,TX,679.4071856,67.04191617,28.82035928,11.74850299,2025-02-13,787.0179640400002
Imperial Regional Detention Facility,Calexico,CA,590.6586826,17.53892216,31.31736527,31.07784431,2025-01-16,670.59281434
Jackson Parish Correctional Center,Jonesboro,LA,904.6886228,79.24550898,3.48502994,1.874251497,2024-12-12,989.293413217
Jefferson County Jail,Rigby,ID,0.568862275,0.682634731,1.239520958,0.646706587,2024-07-18,3.1377245510000003
Joe Corley Processing Ctr,Conroe,TX,718.2215569,64.55688623,23.07185629,11.50898204,2024-12-19,817.35928146
Kandiyohi County Jail,Willmar,MN,26.31736527,20.38323353,71.07784431,24.60479042,2025-03-13,142.38323352999998
Karnes County Correctional Center,Karnes City,TX,0.347305389,0.215568862,0.988023952,0.0479,2024-04-12,1.598798203
Karnes County Immigration Processing Center,Karnes City,TX,908.6706587,16.35928144,1.143712575,0.0479,2024-03-21,926.221552715
Kay Co Justice Facility,Newkirk,OK,38.99401198,22.05389222,20.21556886,12.34131737,2025-03-07,93.60479043000001
Knox County Detention Facility,Knoxville,TN,2.51497006,3.598802395,3.323353293,1.389221557,2024-09-26,10.826347304999999
Krome North Service Processing Center,Miami,FL,92.01796407,33.33532934,262.2694611,291.2754491,2024-09-12,678.89820361
La Salle County Regional Detention Center,Encinal,TX,8.910179641,0.706586826,0.0,0.0719,2025-02-07,9.688666467
Laredo Processing Center,Laredo,TX,335.3832335,3.868263473,2.976047904,4.94011976,2024-09-12,347.16766463700003
Leavenworth Us Penitentiary,Leavenworth,KS,5.652694611,1.461077844,3.574850299,4.359281437,,15.047904191
Lexington County Jail,Lexington,SC,0.916167665,1.48502994,0.706586826,0.311377246,2024-08-08,3.4191616770000004
Limestone County Detention Center,Groesbeck,TX,15.86227545,1.670658683,3.646706587,2.790419162,2024-09-26,23.970059882
Lincoln County Jail,North Platte,NE,0.317365269,0.155688623,0.610778443,0.173652695,2024-12-23,1.2574850299999998
Marion County Jail,Indianapolis,IN,3.45508982,1.383233533,2.107784431,1.191616766,2023-12-31,8.13772455
Mesa Verde Ice Processing Center,Bakersfield,CA,0.0,2.461077844,12.58682635,35.65269461,2024-06-13,50.700598803999995
Miami Federal Detention,Miami,FL,10.49700599,8.371257485,38.49101796,21.05389222,,78.41317365500001
Miami Staging Facility,Miami,FL,1.604790419,0.74251497,0.54491018,0.281437126,,3.173652695
Monroe County Detentiondorm,Monroe,MI,63.53293413,15.69461078,1.934131737,1.113772455,2025-03-13,82.27544910200001
Montgomery Ice Processing Center,Conroe,TX,149.5568862,561.4251497,355.2694611,160.9760479,2024-12-05,1227.2275448999999
Moshannon Valley Processing Center,Philipsburg,PA,205.245509,96.46706587,542.2754491,402.0598802,2025-03-06,1246.04790417
Nassau County Correctional Center,East Meadow,NY,1.71257485,0.317365269,0.389221557,0.383233533,,2.8023952089999997
Nevada Southern Detention Center,Pahrump,NV,91.84431138,81.47904192,54.88023952,45.55688623,,273.76047905
New Hanover County Jail,Castle Hayne,NC,0.293413174,0.239520958,0.299401198,0.520958084,2024-08-22,1.353293414
Northeast Ohio Correctional Center,Chardon,OH,8.658682635,4.0,3.245508982,3.05988024,,18.964071857
Northwest Ice Processsing Center,Tacoma,WA,452.3592814,89.41317365,157.2934132,180.7185629,2025-01-30,879.78443115
Northwest State Correctional Center,Swanton,VT,5.51497006,0.149700599,0.22754491,0.131736527,2024-06-27,6.0239520959999995
Oldham County Jail,La Grange,KY,2.880239521,1.053892216,2.574850299,1.71257485,2024-09-19,8.221556886
Orange County Jail Fl,Orlando,FL,1.892215569,1.556886228,2.670658683,1.365269461,2024-08-15,7.4850299410000005
Orange County Jail Ny,Goshen,NY,30.35329341,27.89820359,15.41317365,15.31736527,2024-12-12,88.98203592
Otay Mesa Detention Center,San Diego,CA,800.8263473,470.1197605,45.47904192,46.21556886,2024-11-07,1362.64071858
Otero County Processing Center,Chaparral,NM,680.748503,88.53892216,35.10179641,11.98802395,2024-11-07,816.37724552
Phelps County Jail,Holdrege,NE,1.005988024,6.395209581,10.24550898,10.70658683,2025-02-06,28.353293415000003
Pickens County Det Ctr,Carrollton,AL,8.023952096,12.06586826,11.25149701,5.736526946,2024-08-08,37.077844311999996
Pike County Jail,Lords Valley,PA,104.0598802,18.59281437,32.9760479,26.41916168,2025-02-27,182.04790415
Pine Prairie Ice Processing Center,Pine Prairie,LA,288.7185629,118.6946108,160.3353293,95.74251497,2024-08-01,663.49101797
Pinellas County Jail,Clearwater,FL,1.892215569,2.125748503,2.383233533,0.754491018,2024-09-26,7.155688623
Platte County Jail,Wheatland,WY,0.425149701,0.45508982,0.48502994,0.149700599,2024-03-22,1.51497006
Plymouth County Correctional Facility,Plymouth,MA,145.5628743,25.28143713,120.1556886,114.7005988,2024-11-21,405.70059883
Polk County Jail,Des Moines,IA,4.083832335,10.86227545,9.616766467,10.82035928,2025-02-16,35.383233532
Port Isabel Spc,Los Fresnos,TX,978.3712575,28.31736527,0.850299401,4.700598802,2024-09-12,1012.2395209729999
Pottawattamie County Jail,Council Bluffs,IA,2.071856287,4.51497006,10.08383234,17.5988024,2024-10-24,34.269461086999996
Prairieland Detention Center,Alvarado,TX,251.0538922,83.89820359,202.988024,122.5329341,2024-12-19,660.47305389
Prince Edward County Farmville,Farmville,VA,149.4850299,68.16766467,128.2095808,141.8502994,2024-12-19,487.71257477000006
Richwood Correctional Center,Monroe,LA,767.4431138,27.83832335,5.760479042,4.341317365,2024-11-07,805.383233557
Rio Grande Detention Center,Laredo,TX,616.6107784,6.610778443,1.449101796,1.245508982,2025-01-09,625.916167621
River Correctional Center,Ferriday,LA,488.9580838,61.82035928,1.317365269,0.754491018,2024-11-21,552.8502993669999
Robert A Deyton Detention Facility,Lovejoy,GA,1.664670659,1.808383234,2.586826347,0.814371257,2023-11-16,6.874251497
Saipan Department Of Corrections Susupe,Saipan,MP,2.179640719,1.934131737,0.562874251,0.0,2024-03-08,4.676646707
Salt Lake County Metro Jail,Salt Lake City,UT,1.0,4.335329341,0.473053892,0.113772455,2024-09-27,5.922155688
San Juan Staging,Guaynabo,PR,4.281437126,0.251497006,0.592814371,0.179640719,,5.3053892220000005
San Luis Regional Detention Center,San Luis,AZ,38.61077844,7.203592814,0.479041916,1.077844311,2024-09-26,47.371257480999994
Seneca County Jail,Chardon,OH,17.01796407,11.77245509,15.52095808,18.16766467,2024-10-31,62.47904191
Sherburne County Jail,Elk River,MN,4.592814371,5.598802395,9.281437126,2.760479042,2024-05-02,22.233532934
South Central Regional Jail,Charleston,WV,2.22754491,1.766467066,1.880239521,1.167664671,2024-09-26,7.041916168
South Louisiana Ice Processing Center,Basile,LA,603.8263473,100.8862275,92.66467066,35.25149701,2024-08-29,832.6287424699999
South Texas Ice Processing Center,Pearsall,TX,1299.083832,106.1257485,188.7245509,68.19760479,2025-02-06,1662.13173619
St Clair County Jail,Port Huron,MI,46.28742515,10.89221557,10.2754491,5.281437126,2024-09-19,72.736526946
Ste Genevieve County Sheriffjail,Ste Genevieve,MO,0.0719,1.113772455,0.74251497,0.215568862,,2.143756287
Stewart Detention Center,Lumpkin,GA,743.3113772,194.9281437,371.5628743,328.0419162,2024-08-01,1637.8443114
Strafford County Jail or Corrections,Dover,NH,0.0,0.0,49.16167665,41.33532934,2024-09-12,90.49700598999999
Sweetwater County Jail,Rock Springs,WY,0.233532934,0.520958084,0.610778443,0.0659,2024-03-26,1.431169461
T Don Hutto Detention Center,Taylor,TX,199.9820359,40.63473054,114.0658683,69.14371257,2024-12-19,423.82634731
Torranceestancia Nm,Estancia,NM,323.502994,52.0,7.634730539,4.143712575,2024-10-24,387.28143711399997
Tulsa County Jail David L Moss Justice Ctr,Tulsa,OK,5.868263473,3.760479042,2.508982036,1.28742515,2024-09-19,13.425149700999999
Two Bridges Regional Jail,Wiscasset,ME,0.0,0.0,1.095808383,0.844311377,,1.94011976
Washington County Detention Center,Fayetteville,AR,0.922155689,1.119760479,1.203592814,0.401197605,2023-11-02,3.6467065870000006
Washoe County Jail,Reno,NV,0.814371257,2.023952096,3.443113772,3.700598802,2024-11-07,9.982035927
Webb County Detention Center Cca,Laredo,TX,234.4550898,4.335329341,27.7245509,52.93413174,2025-02-06,319.449101781
Winn Correctional Center,Winnfield,LA,1013.023952,214.7724551,187.005988,94.58083832,2025-01-16,1509.3832334200001
Wyatt Detention Center,Central Falls,RI,16.22155689,4.077844311,42.32934132,49.19760479,2024-09-19,111.82634731099999
